2019-12-14 16:20:46.2041 Info Loading Cardigann definition /app/Jackett/Definitions/baibako.yml 
2019-12-14 16:20:46.2082 Info Loading Cardigann definition /app/Jackett/Definitions/3evils.yml 
2019-12-14 16:20:46.2119 Info Loading Cardigann definition /app/Jackett/Definitions/vizuk.yml 
2019-12-14 16:20:46.2178 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2019-12-14 16:20:46.2178 Info Loading Cardigann definition /app/Jackett/Definitions/desireleasers.yml 
2019-12-14 16:20:46.2218 Info Loading Cardigann definition /app/Jackett/Definitions/crazyscorner.yml 
2019-12-14 16:20:46.2270 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2019-12-14 16:20:46.2346 Info Loading Cardigann definition /app/Jackett/Definitions/nbtorrents.yml 
2019-12-14 16:20:46.2434 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2019-12-14 16:20:46.2466 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2019-12-14 16:20:46.2466 Info Loading Cardigann definition /app/Jackett/Definitions/gamestorrents.yml 
2019-12-14 16:20:46.2508 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2019-12-14 16:20:46.2547 Info Loading Cardigann definition /app/Jackett/Definitions/hdcity.yml 
2019-12-14 16:20:46.2619 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2019-12-14 16:20:46.2654 Info Loading Cardigann definition /app/Jackett/Definitions/booktracker.yml 
2019-12-14 16:20:46.2741 Info Loading Cardigann definition /app/Jackett/Definitions/ast4u.yml 
2019-12-14 16:20:46.2794 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2019-12-14 16:20:46.4207 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2019-12-14 16:20:46.4424 Info Loading Cardigann definition /app/Jackett/Definitions/aftershock.yml 
2019-12-14 16:20:46.4526 Info Loading Cardigann definition /app/Jackett/Definitions/hdbits.yml 
2019-12-14 16:20:46.4557 Info Loading Cardigann definition /app/Jackett/Definitions/unionfansub.yml 
2019-12-14 16:20:46.4597 Info Loading Cardigann definition /app/Jackett/Definitions/uniongang.yml 
2019-12-14 16:20:46.4693 Info Loading Cardigann definition /app/Jackett/Definitions/zooqle.yml 
2019-12-14 16:20:46.4693 Info Loading Cardigann definition /app/Jackett/Definitions/alein.yml 
2019-12-14 16:20:46.4770 Info Loading Cardigann definition /app/Jackett/Definitions/bittorrentam.yml 
2019-12-14 16:20:46.4836 Info Loading Cardigann definition /app/Jackett/Definitions/femdomcult.yml 
2019-12-14 16:20:46.4908 Info Loading Cardigann definition /app/Jackett/Definitions/btgigs.yml 
2019-12-14 16:20:46.4941 Info Loading Cardigann definition /app/Jackett/Definitions/shellife.yml 
2019-12-14 16:20:46.4941 Info Loading Cardigann definition /app/Jackett/Definitions/bluebird.yml 
2019-12-14 16:20:46.4996 Info Loading Cardigann definition /app/Jackett/Definitions/elittracker.yml 
2019-12-14 16:20:46.5047 Info Loading Cardigann definition /app/Jackett/Definitions/seedpeer.yml 
2019-12-14 16:20:46.5062 Info Loading Cardigann definition /app/Jackett/Definitions/tribalmixes.yml 
2019-12-14 16:20:46.5062 Info Loading Cardigann definition /app/Jackett/Definitions/nntt.yml 
2019-12-14 16:20:46.5410 Info Loading Cardigann definition /app/Jackett/Definitions/yggtorrent.yml 
2019-12-14 16:20:46.5507 Info Loading Cardigann definition /app/Jackett/Definitions/themoviecave.yml 
2019-12-14 16:20:46.5547 Info Loading Cardigann definition /app/Jackett/Definitions/film-paleis.yml 
2019-12-14 16:20:46.5585 Info Loading Cardigann definition /app/Jackett/Definitions/torlock.yml 
2019-12-14 16:20:46.5616 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2019-12-14 16:20:46.5774 Info Loading Cardigann definition /app/Jackett/Definitions/cpabien.yml 
2019-12-14 16:20:46.5825 Info Loading Cardigann definition /app/Jackett/Definitions/bigtower.yml 
2019-12-14 16:20:46.5879 Info Loading Cardigann definition /app/Jackett/Definitions/zamundanet.yml 
2019-12-14 16:20:46.5977 Info Loading Cardigann definition /app/Jackett/Definitions/concertos.yml 
2019-12-14 16:20:46.6020 Info Loading Cardigann definition /app/Jackett/Definitions/hdarea.yml 
2019-12-14 16:20:46.6020 Info Loading Cardigann definition /app/Jackett/Definitions/hdspain.yml 
2019-12-14 16:20:46.6069 Info Loading Cardigann definition /app/Jackett/Definitions/channelx.yml 
2019-12-14 16:20:46.6094 Info Loading Cardigann definition /app/Jackett/Definitions/fanoin.yml 
2019-12-14 16:20:46.6094 Info Loading Cardigann definition /app/Jackett/Definitions/hamsterstudio.yml 
2019-12-14 16:20:46.6300 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2019-12-14 16:20:46.6376 Info Loading Cardigann definition /app/Jackett/Definitions/zelkaorg.yml 
2019-12-14 16:20:46.6446 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2019-12-14 16:20:46.6507 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2019-12-14 16:20:46.6549 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
2019-12-14 16:20:46.6612 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2019-12-14 16:20:46.6692 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
2019-12-14 16:20:46.6790 Info Loading Cardigann definition /app/Jackett/Definitions/xtremefile.yml 
2019-12-14 16:20:46.6830 Info Loading Cardigann definition /app/Jackett/Definitions/totheglory.yml 
2019-12-14 16:20:46.6858 Info Loading Cardigann definition /app/Jackett/Definitions/racingforme.yml 
2019-12-14 16:20:46.6951 Info Loading Cardigann definition /app/Jackett/Definitions/classix.yml 
2019-12-14 16:20:46.6951 Info Loading Cardigann definition /app/Jackett/Definitions/arenabg.yml 
2019-12-14 16:20:46.7097 Info Loading Cardigann definition /app/Jackett/Definitions/soundpark.yml 
2019-12-14 16:20:46.7146 Info Loading Cardigann definition /app/Jackett/Definitions/ptfiles.yml 
2019-12-14 16:20:46.7179 Info Loading Cardigann definition /app/Jackett/Definitions/netlab.yml 
2019-12-14 16:20:46.7179 Info Loading Cardigann definition /app/Jackett/Definitions/hdturk.yml 
2019-12-14 16:20:46.7268 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
2019-12-14 16:20:46.7268 Info Loading Cardigann definition /app/Jackett/Definitions/thetorrents.yml 
2019-12-14 16:20:46.7336 Info Loading Cardigann definition /app/Jackett/Definitions/hdroute.yml 
2019-12-14 16:20:46.7371 Info Loading Cardigann definition /app/Jackett/Definitions/elitetorrent-biz.yml 
2019-12-14 16:20:46.7371 Info Loading Cardigann definition /app/Jackett/Definitions/greeklegends.yml 
2019-12-14 16:20:46.7446 Info Loading Cardigann definition /app/Jackett/Definitions/crnaberza.yml 
2019-12-14 16:20:46.7494 Info Loading Cardigann definition /app/Jackett/Definitions/spacetorrent.yml 
2019-12-14 16:20:46.7538 Info Loading Cardigann definition /app/Jackett/Definitions/cztorrent.yml 
2019-12-14 16:20:46.7538 Info Loading Cardigann definition /app/Jackett/Definitions/xbytes2.yml 
2019-12-14 16:20:46.7538 Info Loading Cardigann definition /app/Jackett/Definitions/tfile.yml 
